Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
A-095,A-095,866,,ANILLO INDIO,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-095.jpg,,,,,,,,,,,,,,,,,,,,
A-096,A-096,708,,ANILLO SAN JUDAS TADEO C/PIEDRITAS,TRUE,10,FALSE,7.3,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-096.jpg,,,,,,,,,,,,,,,,,,,,
A-097,A-097,592,,ANILLO HERRADURA C/PIEDRA,TRUE,10,FALSE,6.52,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-097.jpg,,,,,,,,,,,,,,,,,,,,
A-098,A-098,572,,ANILLO HERRADURA CABALLO C/PIEDRAS DELGADO,TRUE,10,FALSE,5.96,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-098.jpg,,,,,,,,,,,,,,,,,,,,
A-099,A-099,0,,ANILLO HERRADURA CABALLO C/PIEDRAS GRUESO,TRUE,10,FALSE,0,,,,,TRUE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-099.jpg,,,,,,,,,,,,,,,,,,,,
A-100,A-100,504,,ANILLO CON PIEDRA NEGRA,TRUE,10,FALSE,5.77,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-100.jpg,,,,,,,,,,,,,,,,,,,,
A-101,A-101,650,,ANILLO CABALLO,TRUE,10,FALSE,6.7,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-101.jpg,,,,,,,,,,,,,,,,,,,,
A-102,A-102,646,,ANILLO HERRADURA VIRGEN GUADALUPE C/PIEDRAS,TRUE,10,FALSE,5.73,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-102.jpg,,,,,,,,,,,,,,,,,,,,
A-103,A-103,490,,ANILLO SAN JUDAS HERRADURA C/PIEDRA,TRUE,10,FALSE,5.12,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-103.jpg,,,,,,,,,,,,,,,,,,,,
A-104,A-104,556,,ANILLO CON PIEDRAS AL CENTRO,TRUE,10,FALSE,5.6,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-104.jpg,,,,,,,,,,,,,,,,,,,,
A-105,A-105,470,,ANILLO C/PIEDRA CUADRADA Y PIEDRITAS,TRUE,10,FALSE,4.8,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-105.jpg,,,,,,,,,,,,,,,,,,,,
A-106,A-106,260,,ANILLO CABALLERO TELEVISION DELGADO,TRUE,10,FALSE,2.62,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-106.jpg,,,,,,,,,,,,,,,,,,,,
A-107,A-107,304,,ANILLO SAN BENITO,TRUE,10,FALSE,3.53,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-107.jpg,,,,,,,,,,,,,,,,,,,,
A-108,A-108,662,,ANILLO CUADRO,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-108.jpg,,,,,,,,,,,,,,,,,,,,
A-109,A-109,248,,ANILLO CABALLERO PIEDRA SATINADO,TRUE,10,FALSE,2.95,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-109.jpg,,,,,,,,,,,,,,,,,,,,
A-110,A-110,690,,ANILLO CABALLERO TELEVISION,TRUE,10,FALSE,6.97,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-110.jpg,,,,,,,,,,,,,,,,,,,,
A-111,A-111,314,,ANILLO CABALLERO ESCALERA C/PIEDRA,TRUE,10,FALSE,3.75,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-111.jpg,,,,,,,,,,,,,,,,,,,,
A-112,A-112,256,,ANILLO CABALLERO ROMBOS,TRUE,10,FALSE,3.1,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-112.jpg,,,,,,,,,,,,,,,,,,,,
A-113,A-113,352,,ANILLO HERRADURA C/CABALLO,TRUE,10,FALSE,4.3,,,,,FALSE,ANILLOS CABALLERO,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-113.jpg,,,,,,,,,,,,,,,,,,,,
