Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
A-001,A-001,156,,ANILLO CORAZON C/PIEDRA AL CENTRO,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-001.jpg,,,,,,,,,,,,,,,,,,,,
A-002,A-002,250,,ANILLO SOLITARIO INFINITO CON PIEDRAS,TRUE,10,FALSE,2.52,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-002.jpg,,,,,,,,,,,,,,,,,,,,
A-003,A-003,224,,ANILLO INFINITO CON 1 PIEDRITA,TRUE,10,FALSE,2,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-003.jpg,,,,,,,,,,,,,,,,,,,,
A-004,A-004,336,,ANILLO CON FLOR Y HOJAS AL CENTRO,TRUE,10,FALSE,3.36,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-004.jpg,,,,,,,,,,,,,,,,,,,,
A-005,A-005,426,,ANILLO ENTRELAZADO CON PIEDRA,TRUE,10,FALSE,,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-005.jpg,,,,,,,,,,,,,,,,,,,,
A-006,A-006,230,,ANILLO CHURUMBELA DOBLE,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-006.jpg,,,,,,,,,,,,,,,,,,,,
A-007,A-007,174,,ANILLO CHURUMBELA,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-007.jpg,,,,,,,,,,,,,,,,,,,,
A-008,A-008,248,,ANILLO ALIANZA DELGADA,TRUE,10,FALSE,2.6,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-008.jpg,,,,,,,,,,,,,,,,,,,,
A-009,A-009,800,,ANILLO PILLA CON PORTA PIÑA,TRUE,10,FALSE,7.4,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-009.jpg,,,,,,,,,,,,,,,,,,,,
A-010,A-010,400,,ANILLO PIÑA,TRUE,10,FALSE,3.65,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-010.jpg,,,,,,,,,,,,,,,,,,,,
A-011,A-011,762,,ANILLO SOLITARIO PORTA BAGUETTE,TRUE,10,FALSE,7.9,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-011.jpg,,,,,,,,,,,,,,,,,,,,
A-012,A-012,396,,ANILLO SEMANARIO,TRUE,10,FALSE,4.1,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-012.jpg,,,,,,,,,,,,,,,,,,,,
A-013,A-013,362,,ANILLO MEDALLA SAN BENITO,TRUE,10,FALSE,0,,,,,FALSE,ANILLOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/A-013.jpg,,,,,,,,,,,,,,,,,,,,
