Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
AD-001,AD-001,5310,,ARGOLLA DE ORO 10K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-001.jpg,,,,,,,,,,,,,,,,,,,,
AD-002,AD-002,15400,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-002.jpg,,,,,,,,,,,,,,,,,,,,
AD-003,AD-003,9980,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-003.jpg,,,,,,,,,,,,,,,,,,,,
AD-004,AD-004,16100,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-004.jpg,,,,,,,,,,,,,,,,,,,,
AD-005,AD-005,14960,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-005.jpg,,,,,,,,,,,,,,,,,,,,
AD-006,AD-006,15400,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-006.jpg,,,,,,,,,,,,,,,,,,,,
AD-007,AD-007,10650,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-007.jpg,,,,,,,,,,,,,,,,,,,,
AD-008,AD-008,13590,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-008.jpg,,,,,,,,,,,,,,,,,,,,
AD-009,AD-009,15400,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-009.jpg,,,,,,,,,,,,,,,,,,,,
AD-010,AD-010,11560,,ARGOLLA DE ORO 14K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-010.jpg,,,,,,,,,,,,,,,,,,,,
AD-011,AD-011,7890,,ARGOLLA DE ORO 10K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-011.jpg,,,,,,,,,,,,,,,,,,,,
AD-012,AD-012,7030,,ARGOLLA DE ORO 10K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-012.jpg,,,,,,,,,,,,,,,,,,,,
AD-013,AD-013,7720,,ARGOLLA DE ORO 10K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-013.jpg,,,,,,,,,,,,,,,,,,,,
AD-014,AD-014,5850,,ARGOLLA DE ORO 10K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-014.jpg,,,,,,,,,,,,,,,,,,,,
AD-015,AD-015,5830,,ARGOLLA DE ORO 10K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-015.jpg,,,,,,,,,,,,,,,,,,,,
AD-016,AD-016,7880,,ARGOLLA DE ORO 10K,TRUE,10,FALSE,0,,,,,FALSE,ARGOLLAS ORO 10K Y 14K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/AD-016.jpg,,,,,,,,,,,,,,,,,,,,
