Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
H-001,H-001,88,,ARRACADA ESTRELLA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-001.jpg,,,,,,,,,,,,,,,,,,,,
H-002,H-002,152,,ARRACADA ESTRELLA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-002.jpg,,,,,,,,,,,,,,,,,,,,
H-003,H-003,258,,ARRACADA ESTRELLA,TRUE,10,FALSE,3.63,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-003.jpg,,,,,,,,,,,,,,,,,,,,
H-004,H-004,390,,ARRACADA ESTRELLA,TRUE,10,FALSE,5.5,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-004.jpg,,,,,,,,,,,,,,,,,,,,
H-005,H-005,472,,ARRACADA ESTRELLA,TRUE,10,FALSE,6.65,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-005.jpg,,,,,,,,,,,,,,,,,,,,
H-006,H-006,98,,ARRACADA ESTRELLA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-006.jpg,,,,,,,,,,,,,,,,,,,,
H-007,H-007,210,,ARRACADA ESTRELLA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-007.jpg,,,,,,,,,,,,,,,,,,,,
H-008,H-008,324,,ARRACADA ESTRELLA GRANDE,TRUE,10,FALSE,4.58,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-008.jpg,,,,,,,,,,,,,,,,,,,,
H-009,H-009,368,,ARRACADA ANCHA FACETADA,TRUE,10,FALSE,2.8,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-009.jpg,,,,,,,,,,,,,,,,,,,,
H-010,H-010,226,,ARRACADA ESPEJO,TRUE,10,FALSE,2.1,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-010.jpg,,,,,,,,,,,,,,,,,,,,
H-011,H-011,316,,ARRACADA ESPEJO,TRUE,10,FALSE,3.1,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-011.jpg,,,,,,,,,,,,,,,,,,,,
H-012,H-012,118,,ARRACADA DIAMANTADA CHICA,TRUE,10,FALSE,1.1,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-012.jpg,,,,,,,,,,,,,,,,,,,,
H-013,H-013,316,,ARRACADA DIAMANTADA GRANDE,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-013.jpg,,,,,,,,,,,,,,,,,,,,
H-014,H-014,248,,ARRACADA CELESTE,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-014.jpg,,,,,,,,,,,,,,,,,,,,
H-015,H-015,82,,ARRACADA FACETADA,TRUE,10,FALSE,1.13,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-015.jpg,,,,,,,,,,,,,,,,,,,,
H-016,H-016,114,,ARRACADA FACETADA,TRUE,10,FALSE,1.61,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-016.jpg,,,,,,,,,,,,,,,,,,,,
H-017,H-017,154,,ARRACADA FACETADA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-017.jpg,,,,,,,,,,,,,,,,,,,,
H-018,H-018,298,,ARRACDA FACETADA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-018.jpg,,,,,,,,,,,,,,,,,,,,
H-019,H-019,144,,ARRACADA LAZO CHICA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-019.jpg,,,,,,,,,,,,,,,,,,,,
H-020,H-020,194,,ARRACADA LAZO MEDIANA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-020.jpg,,,,,,,,,,,,,,,,,,,,
H-021,H-021,374,,ARRACADA LAZO GRANDE,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-021.jpg,,,,,,,,,,,,,,,,,,,,
H-022,H-022,228,,ARRACADA INDIA DELGADA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-022.jpg,,,,,,,,,,,,,,,,,,,,
H-023,H-023,302,,ARRACADA INDIA ANCHA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-023.jpg,,,,,,,,,,,,,,,,,,,,
H-024,H-024,236,,ARRACADA CANASTA,TRUE,10,FALSE,2.7,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-024.jpg,,,,,,,,,,,,,,,,,,,,
H-025,H-025,256,,ARRACADA LLANTA MEDIANA,TRUE,10,FALSE,0,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-025.jpg,,,,,,,,,,,,,,,,,,,,
H-026,H-026,216,,ARRACADA,TRUE,10,FALSE,1.82,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-026.jpg,,,,,,,,,,,,,,,,,,,,
H-027,H-027,260,,ARRACADA CANASTA,TRUE,10,FALSE,2.16,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-027.jpg,,,,,,,,,,,,,,,,,,,,
H-028,H-028,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-028.jpg,,,,,,,,,,,,,,,,,,,,
H-029,H-029,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-029.jpg,,,,,,,,,,,,,,,,,,,,
H-030,H-030,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-030.jpg,,,,,,,,,,,,,,,,,,,,
H-031,H-031,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-031.jpg,,,,,,,,,,,,,,,,,,,,
H-032,H-032,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-032.jpg,,,,,,,,,,,,,,,,,,,,
H-033,H-033,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-033.jpg,,,,,,,,,,,,,,,,,,,,
H-034,H-034,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-034.jpg,,,,,,,,,,,,,,,,,,,,
H-035,H-035,178,,ARRACADA TUBO DELGADA LISA MEDIANA,TRUE,10,FALSE,2.33,,,,,FALSE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-035.jpg,,,,,,,,,,,,,,,,,,,,
H-036,H-036,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-036.jpg,,,,,,,,,,,,,,,,,,,,
H-037,H-037,0,,,TRUE,10,FALSE,,,,,,TRUE,ARRACADAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/H-037.jpg,,,,,,,,,,,,,,,,,,,,
