Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
BG-001,BG-001,202,,BROQUEL BISEL 2M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-001.jpg,,,,,,,,,,,,,,,,,,,,
BG-002,BG-002,288,,BROQUEL BISEL 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-002.jpg,,,,,,,,,,,,,,,,,,,,
BG-003,BG-003,328,,BROQUEL BISEL 5M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-003.jpg,,,,,,,,,,,,,,,,,,,,
BG-004,BG-004,290,,BROQYEL RECTO BISEL DIAMANTADO 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-004.jpg,,,,,,,,,,,,,,,,,,,,
BG-005,BG-005,284,,BROQUEL FLOR BISEL DIAMANTADO 4X4,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-005.jpg,,,,,,,,,,,,,,,,,,,,
BG-006,BG-006,276,,BROQUEL FLOR BISEL 4X4,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-006.jpg,,,,,,,,,,,,,,,,,,,,
BG-007,BG-007,344,,BROQUEL FLOR BISEL 5X5,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-007.jpg,,,,,,,,,,,,,,,,,,,,
BG-008,BG-008,288,,BROQUEL FAJO 5M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-008.jpg,,,,,,,,,,,,,,,,,,,,
BG-009,BG-009,232,,BROQUEL RECTO 5M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-009.jpg,,,,,,,,,,,,,,,,,,,,
BG-010,BG-010,266,,BROQUEL RECTO CORAZON 6X6,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-010.jpg,,,,,,,,,,,,,,,,,,,,
BG-011,BG-011,296,,BROQUEL ESTRELLA BISEL 4X4,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-011.jpg,,,,,,,,,,,,,,,,,,,,
BG-012,BG-012,294,,BROQUEL TU Y YO 2 1/2,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-012.jpg,,,,,,,,,,,,,,,,,,,,
BG-013,BG-013,320,,BROQUEL CURVO 2.25X3,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL DE ORO 10K,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/BG-013.jpg,,,,,,,,,,,,,,,,,,,,
