Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
B-030,B-030,150,,BROQUEL HONGO 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-030.jpg,,,,,,,,,,,,,,,,,,,,
B-031,B-031,48,,BROQUEL HONGO #0,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-031.jpg,,,,,,,,,,,,,,,,,,,,
B-032,B-032,126,,BROQUEL CURVO FLOR,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-032.jpg,,,,,,,,,,,,,,,,,,,,
B-033,B-033,118,,BROQUEL CURVO CUADRO DIAMANTADO 5M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-033.jpg,,,,,,,,,,,,,,,,,,,,
B-034,B-034,132,,BROQUEL CURVO CORAZON,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-034.jpg,,,,,,,,,,,,,,,,,,,,
B-035,B-035,138,,BROQUEL CURVO ESTRELLA,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-035.jpg,,,,,,,,,,,,,,,,,,,,
B-036,B-036,64,,BROQUEL CURVO 6Y4,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-036.jpg,,,,,,,,,,,,,,,,,,,,
B-037,B-037,72,,BROQUEL CURVO 5Y3,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-037.jpg,,,,,,,,,,,,,,,,,,,,
B-038,B-038,134,,BROQUEL CURVO HEXAGONO GRANDE,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-038.jpg,,,,,,,,,,,,,,,,,,,,
B-039,B-039,110,,BROQUEL CURVO FLOR BISEL,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-039.jpg,,,,,,,,,,,,,,,,,,,,
B-040,B-040,42,,BROQUEL CUADRO 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-040.jpg,,,,,,,,,,,,,,,,,,,,
B-041,B-041,36,,BROQUEL RECTO 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-041.jpg,,,,,,,,,,,,,,,,,,,,
B-042,B-042,46,,BROQUEL RECTO 6M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-042.jpg,,,,,,,,,,,,,,,,,,,,
B-043,B-043,102,,BROQUEL CUADRO 8M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-043.jpg,,,,,,,,,,,,,,,,,,,,
B-044,B-044,60,,BROQUEL RECTO 7M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-044.jpg,,,,,,,,,,,,,,,,,,,,
B-045,B-045,138,,BROQUEL RECTO REDONDO 10M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-045.jpg,,,,,,,,,,,,,,,,,,,,
B-046,B-046,106,,BROQUEL TU Y YO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-046.jpg,,,,,,,,,,,,,,,,,,,,
B-047,B-047,98,,BROQUEL CORAZON SILUETA C/PIEDRA AL CENTRO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-047.jpg,,,,,,,,,,,,,,,,,,,,
B-048,B-048,86,,BROQUEL CORAZON BISEL LISO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-048.jpg,,,,,,,,,,,,,,,,,,,,
B-049,B-049,90,,BROQUEL CORAZON BISEL DIAMANTADO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-049.jpg,,,,,,,,,,,,,,,,,,,,
B-050,B-050,66,,BROQUEL PEPA ESMALTADA,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-050.jpg,,,,,,,,,,,,,,,,,,,,
B-051,B-051,118,,BROQUEL DELFIN CON PIEDRA,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-051.jpg,,,,,,,,,,,,,,,,,,,,
B-052,B-052,150,,BROQUEL CRUZ CON PIEDRA,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-052.jpg,,,,,,,,,,,,,,,,,,,,
B-053,B-053,144,,BROQUEL CRUZ,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-053.jpg,,,,,,,,,,,,,,,,,,,,
B-054,B-054,182,,BROQUEL TREBOL,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-054.jpg,,,,,,,,,,,,,,,,,,,,
B-055,B-055,190,,BROQUEL MARGARITA,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-055.jpg,,,,,,,,,,,,,,,,,,,,
B-056,B-056,124,,BROQUEL CUADRO PLANO C/PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-056.jpg,,,,,,,,,,,,,,,,,,,,
B-057,B-057,124,,BROQUEL CORAZON PLANO C/PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-057.jpg,,,,,,,,,,,,,,,,,,,,
B-058,B-058,344,,BROQUEL BOLA MIL,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-058.jpg,,,,,,,,,,,,,,,,,,,,
B-059,B-059,228,,BROQUEL ESFERA 6M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-059.jpg,,,,,,,,,,,,,,,,,,,,
B-060,B-060,148,,BROQUEL ESFERA 2M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-060.jpg,,,,,,,,,,,,,,,,,,,,
B-061,B-061,124,,BROQUEL CIRCULO PLANO C /PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-061.jpg,,,,,,,,,,,,,,,,,,,,
B-062,B-062,158,,BROQUEL ARO 8M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-062.jpg,,,,,,,,,,,,,,,,,,,,
B-063,B-063,132,,BROQUEL ARO 7M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-063.jpg,,,,,,,,,,,,,,,,,,,,
B-064,B-064,120,,BROQUEL ARO 6M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-064.jpg,,,,,,,,,,,,,,,,,,,,
B-065,B-065,106,,BROQUEL ARO 5M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-065.jpg,,,,,,,,,,,,,,,,,,,,
B-066,B-066,0,,,TRUE,10,FALSE,,,,,,TRUE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-066.jpg,,,,,,,,,,,,,,,,,,,,
B-067,B-067,0,,,TRUE,10,FALSE,,,,,,TRUE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-067.jpg,,,,,,,,,,,,,,,,,,,,
B-068,B-068,124,,BROQUEL ARO ESTRELLA 6MM,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-068.jpg,,,,,,,,,,,,,,,,,,,,
B-069,B-069,70,,BROQUEL SAN BENITO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-069.jpg,,,,,,,,,,,,,,,,,,,,
B-070,B-070,322,,ARETE PERLA C/PIEDRAS Y PATENTE,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-070.jpg,,,,,,,,,,,,,,,,,,,,
B-071,B-071,204,,BROQUEL PERLA CON HOJAS,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-071.jpg,,,,,,,,,,,,,,,,,,,,
B-072,B-072,336,,ARETE PERLA C/GANCHO,TRUE,10,FALSE,4.14,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-072.jpg,,,,,,,,,,,,,,,,,,,,
B-073,B-073,0,,,TRUE,10,FALSE,,,,,,TRUE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-073.jpg,,,,,,,,,,,,,,,,,,,,
B-074,B-074,182,,ARETE CORAZON CON BISEL,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-074.jpg,,,,,,,,,,,,,,,,,,,,
B-075,B-075,182,,ARETE CRUZ CON GANCHO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-075.jpg,,,,,,,,,,,,,,,,,,,,
B-076,B-076,134,,ARETE GANCHO CRUZ LISA,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-076.jpg,,,,,,,,,,,,,,,,,,,,
B-077,B-077,242,,ARETE GRECO CHICO CON PATENTE,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-077.jpg,,,,,,,,,,,,,,,,,,,,
B-078,B-078,480,,ARTETE GRECO PLANO CON PATENTE,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-078.jpg,,,,,,,,,,,,,,,,,,,,
B-079,B-079,168,,ARETE GOTA BISEL C/GANCHO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-079.jpg,,,,,,,,,,,,,,,,,,,,
B-080,B-080,218,,ARETE BOLA SATINADA CHICA,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-080.jpg,,,,,,,,,,,,,,,,,,,,
B-081,B-081,196,,ARETE ESCIDO CON ROMBO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-081.jpg,,,,,,,,,,,,,,,,,,,,
B-082,B-082,182,,ARETE GOTA CON GANCHO,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-082.jpg,,,,,,,,,,,,,,,,,,,,
B-083,B-083,186,,ARETE CONCHA OVAL C/ILUCION 4MM,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-083.jpg,,,,,,,,,,,,,,,,,,,,
B-084,B-084,584,,ARETE C/GANCHO 3 BOLAS LISAS,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-084.jpg,,,,,,,,,,,,,,,,,,,,
B-085,B-085,386,,ARETE LAMBADA,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-085.jpg,,,,,,,,,,,,,,,,,,,,
B-086,B-086,208,,BROQUEL FLOR PERLA,TRUE,10,FALSE,1.92,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-086.jpg,,,,,,,,,,,,,,,,,,,,
B-087,B-087,360,,ARETE GANCHO PERLA C/4PIEDRITAS,TRUE,10,FALSE,3.4,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-087.jpg,,,,,,,,,,,,,,,,,,,,
B-088,B-088,160,,ARETE CORAZON DOBLE C/PIEDRITA AL CENTRO,TRUE,10,FALSE,1.5,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-088.jpg,,,,,,,,,,,,,,,,,,,,
B-089,B-089,148,,BROQUEL GUITARRA INFLADA C/PIEDRA,TRUE,10,FALSE,1.4,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-089.jpg,,,,,,,,,,,,,,,,,,,,
B-090,B-090,170,,ARETE MARIPOSA C/PIEDRA AL CENTRO,TRUE,10,FALSE,1.6,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-090.jpg,,,,,,,,,,,,,,,,,,,,
B-091,B-091,98,,BROQUELNOTA MUSIICAL,TRUE,10,FALSE,0.92,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-091.jpg,,,,,,,,,,,,,,,,,,,,
B-092,B-092,224,,ARETE VIOLADOR C/CRUZ LISA,TRUE,10,FALSE,,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-092.jpg,,,,,,,,,,,,,,,,,,,,
B-093,B-093,234,,ARETE VIOLADOR CUADRO PAVE,TRUE,10,FALSE,2.15,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-093.jpg,,,,,,,,,,,,,,,,,,,,
B-094,B-094,212,,ARETE VIOLADOR C/CORAZON LISO,TRUE,10,FALSE,,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-094.jpg,,,,,,,,,,,,,,,,,,,,
B-095,B-095,496,,BROQUEL RODIO CUADRO PRINCESA,TRUE,10,FALSE,3.4,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-095.jpg,,,,,,,,,,,,,,,,,,,,
B-096,B-096,178,,ARETE FLOR 4M C/GOTA,TRUE,10,FALSE,,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-096.jpg,,,,,,,,,,,,,,,,,,,,
B-097,B-097,254,,ARETE GANCHO GOTA C/3PIEDRITAS,TRUE,10,FALSE,,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-097.jpg,,,,,,,,,,,,,,,,,,,,
B-098,B-098,188,,ARETE ESCUDO C/RED 4MM,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-098.jpg,,,,,,,,,,,,,,,,,,,,
B-099,B-099,174,,ARETE MACETA CORAZON 6MM,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-099.jpg,,,,,,,,,,,,,,,,,,,,
B-100,B-100,188,,ARETE ESCUDO RED C/OVAL,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-100.jpg,,,,,,,,,,,,,,,,,,,,
B-101,B-101,186,,ARETE HOJA PARRA C/PIEDRA BISEL 10M,TRUE,10,FALSE,,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-101.jpg,,,,,,,,,,,,,,,,,,,,
B-102,B-102,156,,ARETE HOJA C/ILUCION,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL PLATA,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-102.jpg,,,,,,,,,,,,,,,,,,,,
