Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
B-001,B-001,186,,BROQUEL HEXAGONO 8M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-001.jpg,,,,,,,,,,,,,,,,,,,,
B-002,B-002,130,,BROQUEL BISEL HEXAGONO 7M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-002.jpg,,,,,,,,,,,,,,,,,,,,
B-003,B-003,52,,BROQUEL BISEL HEXAGONO 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-003.jpg,,,,,,,,,,,,,,,,,,,,
B-004,B-004,52,,BROQUEL RECTO CUADRO BISEL 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-004.jpg,,,,,,,,,,,,,,,,,,,,
B-005,B-005,96,,BROQUEL RECTO BISELADO 8M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-005.jpg,,,,,,,,,,,,,,,,,,,,
B-006,B-006,82,,BROQUEL RECTO BISEL 7M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-006.jpg,,,,,,,,,,,,,,,,,,,,
B-007,B-007,84,,BROQUEL RECTO BISEL 6M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-007.jpg,,,,,,,,,,,,,,,,,,,,
B-008,B-008,64,,BROQUEL RECTO BISEL 5M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-008.jpg,,,,,,,,,,,,,,,,,,,,
B-009,B-009,56,,BROQUEL RECTO BISEL 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-009.jpg,,,,,,,,,,,,,,,,,,,,
B-010,B-010,0,,,TRUE,10,FALSE,0,,,,,TRUE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-010.jpg,,,,,,,,,,,,,,,,,,,,
B-011,B-011,130,,BROQUEL RECTO FLOR 7M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-011.jpg,,,,,,,,,,,,,,,,,,,,
B-012,B-012,76,,BROQUEL RECTO FLOR 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-012.jpg,,,,,,,,,,,,,,,,,,,,
B-013,B-013,0,,,TRUE,10,FALSE,0,,,,,TRUE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-013.jpg,,,,,,,,,,,,,,,,,,,,
B-014,B-014,126,,BROQUEL BISEL FLOR 6M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-014.jpg,,,,,,,,,,,,,,,,,,,,
B-015,B-015,58,,BROQUEL BISEL FLOR 5M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-015.jpg,,,,,,,,,,,,,,,,,,,,
B-016,B-016,54,,BROQUEL BISEL FLOR 4M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-016.jpg,,,,,,,,,,,,,,,,,,,,
B-017,B-017,0,,,TRUE,10,FALSE,0,,,,,TRUE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-017.jpg,,,,,,,,,,,,,,,,,,,,
B-018,B-018,134,,BROQUEL RECTO ESTRELLA 7M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-018.jpg,,,,,,,,,,,,,,,,,,,,
B-019,B-019,116,,BROQUEL RECTO ESTRELLA 6M,TRUE,10,FALSE,0,,,,,FALSE,BROQUEL,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/B-019.jpg,,,,,,,,,,,,,,,,,,,,
