Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
C-001,C-001,936,,CADENA ESTILO CARTIER 3X1,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-001.jpg,,,Tamaño,"55,60,70",,,,,,,,,,,,,,,,
C-002,C-002,1474,,CADENA TEJIDO CHINO,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-002.jpg,,,Tamaño,"60,70",,,,,,,,,,,,,,,,
C-003,C-003,780,,CADENA ESTILO CARTIER 3X1,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-003.jpg,,,Tamaño,"55,60,70",,,,,,,,,,,,,,,,
C-004,C-004,1184,,CADENA TEJIDO CHINO-CARTIER,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-004.jpg,,,Tamaño,"60,70",,,,,,,,,,,,,,,,
C-005,C-005,400,,CADENA ESTILO GUCCI,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-005.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-006,C-006,546,,CADENA ESTILO CARTIER 3X1 DELGADA,TRUE,10,FALSE,7.46,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-006.jpg,,,Tamaño,"55,60,70",,,,,,,,,,,,,,,,
C-007,C-007,603,,CADENA BARBADA LISA,TRUE,10,FALSE,7.87,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-007.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-008,C-008,759,,CADENA ESTILO CARTIER 3X1,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-008.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-009,C-009,390,,CADENA ESTILO CARTIER 3X1 PLANA,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-009.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-010,C-010,244,,CADENA BARBADO DELGADA,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-010.jpg,,,Tamaño,55,,,,,,,,,,,,,,,,
C-011,C-011,218,,CADENA 1X0 DELGADA,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-011.jpg,,,Tamaño,55,,,,,,,,,,,,,,,,
C-012,C-012,229,,CADENA TORSAL,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-012.jpg,,,Tamaño,55,,,,,,,,,,,,,,,,
C-013,C-013,354,,CADENA ESTILO GUCCI LISA,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-013.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-014,C-014,546,,CADENA ESTILO GUCCI,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-014.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-015,C-015,848,,CADENA ESTILO GUCCI,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-015.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-016,C-016,926,,CADENA 1X1,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-016.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-017,C-017,556,,CADENA 1X0 GRUESA,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-017.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-018,C-018,536,,CADENA ESTILO GUCCI DIAMANTADA,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-018.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-019,C-019,1040,,CADENA BARBADO DOBLE,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-019.jpg,,,Tamaño,"55,60",,,,,,,,,,,,,,,,
C-020,C-020,1919,,CADENA BARBADO GRUESO,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-020.jpg,,,Tamaño,"55,60,70",,,,,,,,,,,,,,,,
C-021,C-021,1238,,CADENA ESTILO CARTIER 3X1,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-021.jpg,,,Tamaño,"55,60,70",,,,,,,,,,,,,,,,
C-022,C-022,1430,,CADENA ESTILO CARTIER 3X1,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-022.jpg,,,Tamaño,"55,60,70",,,,,,,,,,,,,,,,
C-023,C-023,2012,,CADENA ESTILO CARTIER 3X1 GRUESA DIAMANTADA,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-023.jpg,,,Tamaño,"60,70",,,,,,,,,,,,,,,,
C-024,C-024,2444,,CADENA ESTILO CARTIER 3X1 GRUESA DIAMANTADA,TRUE,10,FALSE,,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-024.jpg,,,Tamaño,"60,70",,,,,,,,,,,,,,,,
C-025,C-025,466,,CADENA TRENSADA,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-025.jpg,,,Tamaño,"45,50,55",,,,,,,,,,,,,,,,
C-026,C-026,480,,CADENA TRENSADA COLA DE RATA-BOLITAS,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-026.jpg,,,Tamaño,"45,50",,,,,,,,,,,,,,,,
C-027,C-027,336,,CADENA CUBO GRANDE,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-027.jpg,,,Tamaño,"45,50",,,,,,,,,,,,,,,,
C-028,C-028,308,,CADENA ESTILO GUCCI DIAMANTADA DELGADA,TRUE,10,FALSE,5,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-028.jpg,,,Tamaño,"45,50,55,60,70",,,,,,,,,,,,,,,,
C-029,C-029,156,,CADENA CON BOLITA REDONDE LISA,TRUE,10,FALSE,2.38,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-029.jpg,,,Tamaño,"45,50,55,60",,,,,,,,,,,,,,,,
C-030,C-030,172,,CADENA CON BOLITA SEMILLA,TRUE,10,FALSE,2.53,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-030.jpg,,,Tamaño,"45,50",,,,,,,,,,,,,,,,
C-031,C-031,132,,CADENA BOLITAS,TRUE,10,FALSE,2.17,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-031.jpg,,,Tamaño,"45,50,55",,,,,,,,,,,,,,,,
C-032,C-032,238,,CADENA LISO TORSAL,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-032.jpg,,,Tamaño,"45,50,55",,,,,,,,,,,,,,,,
C-033,C-033,176,,CADENA CIRCULOS ENCONTRADOS,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-033.jpg,,,Tamaño,"50,55",,,,,,,,,,,,,,,,
C-034,C-034,200,,CADENA CORAZONES C/CIRCULOS PLANOS,TRUE,10,FALSE,3.2,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-034.jpg,,,Tamaño,"45,50,55",,,,,,,,,,,,,,,,
C-035,C-035,100,,CADENA ESTILO CARTIER DELGADITA,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-035.jpg,,,Tamaño,"40,45,50,55",,,,,,,,,,,,,,,,
C-036,C-036,286,,CADENA ESTILO GUCCI LISA,TRUE,10,FALSE,4.78,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-036.jpg,,,Tamaño,"45,50,55,60,70",,,,,,,,,,,,,,,,
C-037,C-037,152,,CADENA SINGAPUR,TRUE,10,FALSE,0,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-037.jpg,,,Tamaño,"45,50,55",,,,,,,,,,,,,,,,
C-038,C-038,158,,CADENA CANUTILLO .-.-.-,TRUE,10,FALSE,2.77,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-038.jpg,,,Tamaño,"45,50,55",,,,,,,,,,,,,,,,
C-039,C-039,160,,CADENA BOLITAS,TRUE,10,FALSE,2.78,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-039.jpg,,,Tamaño,"45,50,55,60",,,,,,,,,,,,,,,,
C-040,C-040,178,,CADENA CANUTILLO,TRUE,10,FALSE,3.05,,,,,FALSE,CADENAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/C-040.jpg,,,Tamaño,"45,50,55",,,,,,,,,,,,,,,,
