Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
D-057,D-057,538,,DIJE CRUZ TUBO CON CRISTO GRANDE,TRUE,10,FALSE,5.44,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-057.jpg,,,,,,,,,,,,,,,,,,,,
D-058,D-058,518,,DIJE CRUZ INRI CON PIEDRAS,TRUE,10,FALSE,5,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-058.jpg,,,,,,,,,,,,,,,,,,,,
D-059,D-059,378,,DIJE CRUZ C/CRISTO Y PIEDRAS,TRUE,10,FALSE,3.9,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-059.jpg,,,,,,,,,,,,,,,,,,,,
D-060,D-060,292,,DIJE CRUZ SAN BENITO C/PIEDRAS,TRUE,10,FALSE,,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-060.jpg,,,,,,,,,,,,,,,,,,,,
D-061,D-061,144,,DIJE CRUZ FILIGRANA C/CRISTO,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-061.jpg,,,,,,,,,,,,,,,,,,,,
D-062,D-062,0,,,TRUE,10,FALSE,,,,,,TRUE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-062.jpg,,,,,,,,,,,,,,,,,,,,
D-063,D-063,282,,DIJE CRUZ SAN BENITO C/CRISTO,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-063.jpg,,,,,,,,,,,,,,,,,,,,
D-064,D-064,196,,DIJE CRUZ CON CRISTO,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-064.jpg,,,,,,,,,,,,,,,,,,,,
D-065,D-065,0,,,TRUE,10,FALSE,,,,,,TRUE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-065.jpg,,,,,,,,,,,,,,,,,,,,
D-066,D-066,102,,DIJE CRUZ PIEDRA MARQUIZ,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-066.jpg,,,,,,,,,,,,,,,,,,,,
D-067,D-067,0,,,TRUE,10,FALSE,,,,,,TRUE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-067.jpg,,,,,,,,,,,,,,,,,,,,
D-068,D-068,78,,DIJE CRUZ SILUETA,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-068.jpg,,,,,,,,,,,,,,,,,,,,
D-069,D-069,106,,DIJE CRUZ DIAMANTADA,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-069.jpg,,,,,,,,,,,,,,,,,,,,
D-070,D-070,106,,DIJE CRUZ C/CRISTO INRI CHICO,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-070.jpg,,,,,,,,,,,,,,,,,,,,
D-071,D-071,138,,DIJE CRUZ CUADRADA C/PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-071.jpg,,,,,,,,,,,,,,,,,,,,
D-072,D-072,66,,DIJE CRUZ MINI C/ROMBO AL CENTRO,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-072.jpg,,,,,,,,,,,,,,,,,,,,
D-073,D-073,110,,DIJE CRUZ CHICA C/CRISTO,TRUE,10,FALSE,0,,,,,FALSE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-073.jpg,,,,,,,,,,,,,,,,,,,,
D-074,D-074,,,,TRUE,10,FALSE,,,,,,TRUE,CRUCES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-074.jpg,,,,,,,,,,,,,,,,,,,,
