Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
D-001,D-001,160,,DIJE DELFIN,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-001.jpg,,,,,,,,,,,,,,,,,,,,
D-002,D-002,90,,DIJE DELFIN CON PIEDRA CORAZON,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-002.jpg,,,,,,,,,,,,,,,,,,,,
D-003,D-003,218,,DIJE MARIPOSA GRANDE,TRUE,10,FALSE,2.38,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-003.jpg,,,,,,,,,,,,,,,,,,,,
D-004,D-004,180,,DIJE MARIPOSA,TRUE,10,FALSE,1.81,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-004.jpg,,,,,,,,,,,,,,,,,,,,
D-005,D-005,144,,DIJE LIBELULA CHICA,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-005.jpg,,,,,,,,,,,,,,,,,,,,
D-006,D-006,186,,DIJE BUHO,TRUE,10,FALSE,1.98,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-006.jpg,,,,,,,,,,,,,,,,,,,,
D-007,D-007,160,,DIJE TORTUGA C/PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-007.jpg,,,,,,,,,,,,,,,,,,,,
D-008,D-008,106,,DIJE GATO CON CORAZON,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-008.jpg,,,,,,,,,,,,,,,,,,,,
D-009,D-009,196,,DIJE INFINITO C/ PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-009.jpg,,,,,,,,,,,,,,,,,,,,
D-010,D-010,236,,DIJE ARBOL DE LA VIDA,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-010.jpg,,,,,,,,,,,,,,,,,,,,
D-011,D-011,100,,DIJE TREBOL CORAZONES,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-011.jpg,,,,,,,,,,,,,,,,,,,,
D-012,D-012,116,,DIJE MARGARITA,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-012.jpg,,,,,,,,,,,,,,,,,,,,
D-013,D-013,96,,DIJE GOTA,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-013.jpg,,,,,,,,,,,,,,,,,,,,
D-014,D-014,130,,DIJE CORONA CHICA,TRUE,10,FALSE,1.3,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-014.jpg,,,,,,,,,,,,,,,,,,,,
D-015,D-015,136,,DIJE TIJERAS,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-015.jpg,,,,,,,,,,,,,,,,,,,,
D-016,D-016,138,,DIJE CIRCULO CON PIEDRA,TRUE,10,FALSE,,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-016.jpg,,,,,,,,,,,,,,,,,,,,
D-017,D-017,88,,DIJE REDONDO PIEDRA 8M,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-017.jpg,,,,,,,,,,,,,,,,,,,,
D-018,D-018,234,,DIJE BALON SOCCER,TRUE,10,FALSE,2.61,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-018.jpg,,,,,,,,,,,,,,,,,,,,
D-019,D-019,186,,DIJE MUELA,TRUE,10,FALSE,2.85,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-019.jpg,,,,,,,,,,,,,,,,,,,,
D-020,D-020,140,,DIJE RANA C/PIEDRITAS,TRUE,10,FALSE,1.4,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-020.jpg,,,,,,,,,,,,,,,,,,,,
D-021,D-021,54,,DIJE CORAZON SILUETA,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-021.jpg,,,,,,,,,,,,,,,,,,,,
D-022,D-022,0,,,TRUE,10,FALSE,,,,,,TRUE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-022.jpg,,,,,,,,,,,,,,,,,,,,
D-023,D-023,106,,DIJE CORAZON DOBLE CON PIEDRITA AL CENTRO,TRUE,10,FALSE,1,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-023.jpg,,,,,,,,,,,,,,,,,,,,
D-024,D-024,178,,DIJE CORAZON SILUETA C/CORAZON COLGANTE,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-024.jpg,,,,,,,,,,,,,,,,,,,,
D-025,D-025,136,,DIJE CORAZON PARTIDO GRANDE,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-025.jpg,,,,,,,,,,,,,,,,,,,,
D-026,D-026,114,,DIJE CORAZON PARTIDO MEDIANO,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-026.jpg,,,,,,,,,,,,,,,,,,,,
D-027,D-027,88,,DIJE CORAZON PARTIDO CHICO,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-027.jpg,,,,,,,,,,,,,,,,,,,,
D-028,D-028,294,,DIJE CORAZON DOBLE CON PIEDRA AL CENTRO,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-028.jpg,,,,,,,,,,,,,,,,,,,,
D-029,D-029,126,,DIJE CORAZON CON PIEDRA,TRUE,10,FALSE,,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-029.jpg,,,,,,,,,,,,,,,,,,,,
D-030,D-030,204,,DIJE CORAZON PAVE,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-030.jpg,,,,,,,,,,,,,,,,,,,,
D-031,D-031,90,,DIJE CORAZON BISEL,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-031.jpg,,,,,,,,,,,,,,,,,,,,
D-032,D-032,76,,DIJE CRORAZON INFLADO MINI,TRUE,10,FALSE,0.85,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-032.jpg,,,,,,,,,,,,,,,,,,,,
D-033,D-033,140,,DIJE NIÑO C/PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-033.jpg,,,,,,,,,,,,,,,,,,,,
D-034,D-034,140,,DIJE NIÑA C/PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-034.jpg,,,,,,,,,,,,,,,,,,,,
D-035,D-035,178,,DIJE NIÑA,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-035.jpg,,,,,,,,,,,,,,,,,,,,
D-036,D-036,188,,DIJE NIÑO,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-036.jpg,,,,,,,,,,,,,,,,,,,,
D-037,D-037,560,,DIJE 4 NIÑOS,TRUE,10,FALSE,5.94,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-037.jpg,,,,,,,,,,,,,,,,,,,,
D-038,D-038,416,,DIJE 3 NIÑOS,TRUE,10,FALSE,0,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-038.jpg,,,,,,,,,,,,,,,,,,,,
D-039,D-039,268,,DIJE 2 NIÑOS,TRUE,10,FALSE,2.72,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-039.jpg,,,,,,,,,,,,,,,,,,,,
D-040,D-040,216,,DIJE ELEFANTE C/PIEDRAS,TRUE,10,FALSE,2.17,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-040.jpg,,,,,,,,,,,,,,,,,,,,
D-041,D-041,178,,DIJE BUHO CON LUNA,TRUE,10,FALSE,2,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-041.jpg,,,,,,,,,,,,,,,,,,,,
D-042,D-042,126,,DIJE HERRADURA CON CABALLO,TRUE,10,FALSE,1.78,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-042.jpg,,,,,,,,,,,,,,,,,,,,
D-043,D-043,106,,DIJE MARIPOSA C/PIEDRA AL CENTRO,TRUE,10,FALSE,1,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-043.jpg,,,,,,,,,,,,,,,,,,,,
D-044,D-044,82,,DIJE GUITARRA INFLADA C/PIEDRA,TRUE,10,FALSE,0.76,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-044.jpg,,,,,,,,,,,,,,,,,,,,
D-045,D-045,50,,DIJE NOTA MUSICAL,TRUE,10,FALSE,0.46,,,,,FALSE,DIJES,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-045.jpg,,,,,,,,,,,,,,,,,,,,
