Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
E-001,E-001,386,,ESCLAVA CON CORAZONES PLACA LISA,TRUE,10,FALSE,0,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-001.jpg,,,Tamaño,"12,16",,,,,,,,,,,,,,,,
E-002,E-002,264,,ESCLAVA TIPO GUCCI PLACA LISA,TRUE,10,FALSE,0,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-002.jpg,,,Tamaño,"12,14,16",,,,,,,,,,,,,,,,
E-003,E-003,316,,ESCLAVA BARBADA DIAMANTADA,TRUE,10,FALSE,3.68,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-003.jpg,,,Tamaño,"12,14,16,18,20",,,,,,,,,,,,,,,,
E-004,E-004,274,,ESCLAVA CARTIER CON PLACA DIAMANTADA,TRUE,10,FALSE,0,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-004.jpg,,,Tamaño,"14,18",,,,,,,,,,,,,,,,
E-005,E-005,462,,ESCLAVA CHINA CON CORAZON PLACA LISA,TRUE,10,FALSE,0,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-005.jpg,,,Tamaño,"12,14,16,18",,,,,,,,,,,,,,,,
E-006,E-006,0,,,TRUE,10,FALSE,,,,,,TRUE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-006.jpg,,,,,,,,,,,,,,,,,,,,
E-007,E-007,334,,ESCLAVA CHINO-CARTIER,TRUE,10,FALSE,3.94,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-007.jpg,,,Tamaño,"12,14,16,18",,,,,,,,,,,,,,,,
E-008,E-008,296,,ESCLAVA TIPO CARTIER,TRUE,10,FALSE,3.5,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-008.jpg,,,Tamaño,"12,14,16,18,20",,,,,,,,,,,,,,,,
E-009,E-009,428,,ESCLAVA TEJIDO CHINO CON CORAZONES,TRUE,10,FALSE,0,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-009.jpg,,,Tamaño,"12,14,16,18,20",,,,,,,,,,,,,,,,
E-010,E-010,650,,ESCLAVA 2 HILOS PLACA DIAMANTADA DAMA,TRUE,10,FALSE,0,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-010.jpg,,,,,,,,,,,,,,,,,,,,
E-011,E-011,1060,,PULSO TEJIDO CHINO,TRUE,10,FALSE,13.1,,,,,FALSE,ESCLAVAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/E-011.jpg,,,,,,,,,,,,,,,,,,,,
