Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
G-001,G-001,410,,GARGANTILLA MEDALLA SAN BENITO,TRUE,10,FALSE,2.71,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-001.jpg,,,,,,,,,,,,,,,,,,,,
G-002,G-002,274,,GARGANTILLA MADONA SILUETA C/BOLITAS,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-002.jpg,,,,,,,,,,,,,,,,,,,,
G-003,G-003,246,,GARGANTILLA CRUZ LISA C/ BOLITAS,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-003.jpg,,,,,,,,,,,,,,,,,,,,
G-004,G-004,348,,GARGANTILLA CRUZ SAN BENITO,TRUE,10,FALSE,2.25,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-004.jpg,,,,,,,,,,,,,,,,,,,,
G-005,G-005,248,,GARGANTILLA CORAZON CON BOLITAS,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-005.jpg,,,,,,,,,,,,,,,,,,,,
G-006,G-006,0,,,TRUE,10,FALSE,,,,,,TRUE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-006.jpg,,,,,,,,,,,,,,,,,,,,
G-007,G-007,216,,GARGANTILLA ESTRELLITA,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-007.jpg,,,,,,,,,,,,,,,,,,,,
G-008,G-008,292,,GARGANTILLA,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-008.jpg,,,,,,,,,,,,,,,,,,,,
G-009,G-009,472,,GARGANTILLA PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-009.jpg,,,,,,,,,,,,,,,,,,,,
G-010,G-010,374,,GARGANTILLA CIRCULO CON MANITA,TRUE,10,FALSE,3.4,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-010.jpg,,,,,,,,,,,,,,,,,,,,
G-011,G-011,354,,GARGANTILLA CORAZON DBLE PIEDRA,TRUE,10,FALSE,3.2,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-011.jpg,,,,,,,,,,,,,,,,,,,,
G-012,G-012,272,,GARGANTILLA CORAZON SILUETA C/CORAZON MINI,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-012.jpg,,,,,,,,,,,,,,,,,,,,
G-013,G-013,0,,,TRUE,10,FALSE,,,,,,TRUE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-013.jpg,,,,,,,,,,,,,,,,,,,,
G-014,G-014,384,,GARGANTILLA LUNA PAVE,TRUE,10,FALSE,3.42,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-014.jpg,,,,,,,,,,,,,,,,,,,,
G-015,G-015,0,,,TRUE,10,FALSE,,,,,,TRUE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-015.jpg,,,,,,,,,,,,,,,,,,,,
G-016,G-016,224,,GARGANTILLA CORAZON MINI,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-016.jpg,,,,,,,,,,,,,,,,,,,,
G-017,G-017,358,,GARGANTILLA CRUZ ESPADA C/PIEDRAS,TRUE,10,FALSE,3.2,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-017.jpg,,,,,,,,,,,,,,,,,,,,
G-018,G-018,324,,GARGANTILLA COLIBRI,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-018.jpg,,,,,,,,,,,,,,,,,,,,
G-019,G-019,340,,GARGANTILLA ARBOL C/BISEL LISO,TRUE,10,FALSE,0,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-019.jpg,,,,,,,,,,,,,,,,,,,,
G-020,G-020,380,,GARGANTILLA CORAZON PAVE,TRUE,10,FALSE,3.4,,,,,FALSE,GARGANTILLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/G-020.jpg,,,,,,,,,,,,,,,,,,,,
