Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
D-075,D-075,290,,DIJE MEDALLA SAN BENITO GRANDE C/OLAN,TRUE,10,FALSE,3.37,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-075.jpg,,,,,,,,,,,,,,,,,,,,
D-076,D-076,246,,DIJE MEDALLA SAN BENITO C/PIEDRAS,TRUE,10,FALSE,0,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-076.jpg,,,,,,,,,,,,,,,,,,,,
D-077,D-077,114,,MEDALLA SAN BENITO GRECA CHICA,TRUE,10,FALSE,0,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-077.jpg,,,,,,,,,,,,,,,,,,,,
D-078,D-078,246,,DIJE MEDALLA SAN JUAN,TRUE,10,FALSE,0,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-078.jpg,,,,,,,,,,,,,,,,,,,,
D-079,D-079,246,,DIJE MEDALLA GOTA VIRGEN DE GUADALUPE,TRUE,10,FALSE,,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-079.jpg,,,,,,,,,,,,,,,,,,,,
D-080,D-080,244,,MEDALLA MILAGROSA,TRUE,10,FALSE,0,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-080.jpg,,,,,,,,,,,,,,,,,,,,
D-081,D-081,198,,MEDALLA VIRGEN DE GUADALUPE,TRUE,10,FALSE,,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-081.jpg,,,,,,,,,,,,,,,,,,,,
D-082,D-082,168,,MEDALLA VIRGEN DE GUADALUPE,TRUE,10,FALSE,0,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-082.jpg,,,,,,,,,,,,,,,,,,,,
D-083,D-083,134,,MEDALLA OVAL VIRGEN DE GUADALUPE,TRUE,10,FALSE,1.34,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-083.jpg,,,,,,,,,,,,,,,,,,,,
D-085,D-085,138,,MEDALLA VIRGEN DE GUADALUPE,TRUE,10,FALSE,0,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-085.jpg,,,,,,,,,,,,,,,,,,,,
D-086,D-086,0,,,TRUE,10,FALSE,,,,,,TRUE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-086.jpg,,,,,,,,,,,,,,,,,,,,
D-087,D-087,220,,DIJE CRUZ CON PIEDRAS,TRUE,10,FALSE,2.21,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-087.jpg,,,,,,,,,,,,,,,,,,,,
D-088,D-088,120,,DIJE PESCADO JESUS,TRUE,10,FALSE,0,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-088.jpg,,,,,,,,,,,,,,,,,,,,
D-089,D-089,98,,MEDALLA MINI VIRGEN DE GUADALUPE,TRUE,10,FALSE,0,,,,,FALSE,MEDALLAS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/D-089.jpg,,,,,,,,,,,,,,,,,,,,
