Nombre del producto,SKU,Precio,Precio rebajado,Descripción,Inventario de seguimiento,Cantidad,Pedido pendiente,Peso,Largo,Ancho,Alto,Categoría de impuestos,Oculto,Categoría,URL de la imagen,Título de SEO,Desc. de SEO,Opción1 nombre,Opción1 valores,Opción2 nombre,Opción2 valores,Opción3 nombre,Opción3 valores,Nombre de Add-on1,Tipo de Add-on1,Obligatorio para Add-on1,Valores de Add-on1,Nombre de Add-on2,Tipo de Add-on2,Obligatorio para Add-on2,Valores de Add-on2,Nombre de Add-on3,Tipo de Add-on3,Obligatorio para Add-on3,Valores de Add-on3
P-001,P-001,0,,,TRUE,10,FALSE,,,,,,TRUE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-001.jpg,,,,,,,,,,,,,,,,,,,,
P-002,P-002,82,,PULSO CANUTILLO CHICO,TRUE,10,FALSE,1.08,,,,,FALSE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-002.jpg,,,,,,,,,,,,,,,,,,,,
P-003,P-003,0,,,TRUE,10,FALSE,,,,,,TRUE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-003.jpg,,,,,,,,,,,,,,,,,,,,
P-004,P-004,84,,PULSERA CANUTILLO 3X1,TRUE,10,FALSE,2.5,,,,,FALSE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-004.jpg,,,,,,,,,,,,,,,,,,,,
P-005,P-005,0,,,TRUE,10,FALSE,,,,,,TRUE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-005.jpg,,,,,,,,,,,,,,,,,,,,
P-006,P-006,130,,PULSO BOLITAS CON BOLA LISA 3X2,TRUE,10,FALSE,1.87,,,,,FALSE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-006.jpg,,,,,,,,,,,,,,,,,,,,
P-007,P-007,190,,PULSERA LIBELULAS 3D,TRUE,10,FALSE,1.86,,,,,FALSE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-007.jpg,,,,,,,,,,,,,,,,,,,,
P-008,P-008,0,,,TRUE,10,FALSE,,,,,,TRUE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-008.jpg,,,,,,,,,,,,,,,,,,,,
P-009,P-009,204,,PULSERA C/DIJES PESCADITO JESUS,TRUE,10,FALSE,1.78,,,,,FALSE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-009.jpg,,,,,,,,,,,,,,,,,,,,
P-010,P-010,98,,PULSERA CORAZONES ENCONTRADOS,TRUE,10,FALSE,1.35,,,,,FALSE,PULSOS,https://raw.githubusercontent.com/jvann/rgjoyeros/master/assets/P-010.jpg,,,,,,,,,,,,,,,,,,,,
